id,category,sentence_a,sentence_b,expected,predicted_lexical,predicted_local,predicted_api,predicted_cascading,predicted_optimal_ensemble,score_local,score_api,score_optimal_ensemble
202,STS-B (main-captions),A man is preparing a snake for cooking.,The man is dropping sliced cucumbers into water.,Not Similar,Not Similar,Not Similar,,,,0.2897,,
203,STS-B (main-captions),A woman is spreading mustard on a bread roll.,A kitten is playing with a woman's finger.,Not Similar,Not Similar,Not Similar,,,,0.1065,,
204,STS-B (main-captions),Someone touched the kitten chewing on a string.,Someone is cutting paper.,Not Similar,Not Similar,Not Similar,,,,0.1357,,
205,STS-B (main-captions),Meat is being put into a skillet.,A woman is putting a baby into a trash can.,Not Similar,Not Similar,Not Similar,,,,0.0601,,
206,STS-B (main-captions),A baby elephant is eating a small tree.,A little girl peddling a scooter.,Not Similar,Not Similar,Not Similar,,,,0.0865,,
207,STS-B (main-captions),Someone is drawing.,Someone is dancing.,Not Similar,Similar,Not Similar,,,,0.2296,,
208,STS-B (main-captions),A man is playing a guitar.,A woman is playing the guitar.,Not Similar,Similar,Not Similar,,,,0.6528,,
209,STS-B (main-captions),The man is playing the guitar.,The girl is playing the guitar.,Not Similar,Similar,Not Similar,,,,0.5516,,
210,STS-B (main-captions),A man is peeling a potato.,A man is slicing a potato.,Not Similar,Not Similar,Similar,,,,0.796,,
211,STS-B (main-captions),A woman is playing an electric guitar.,A man is playing an acoustic guitar.,Not Similar,Similar,Not Similar,,,,0.5735,,
212,STS-B (main-captions),A man is playing a flute.,A man is playing a guitar.,Not Similar,Similar,Not Similar,,,,0.5418,,
213,STS-B (main-captions),A woman is cutting some fish.,A woman is cutting tofu.,Not Similar,Similar,Not Similar,,,,0.5349,,
214,STS-B (main-captions),Someone is playing a piano.,Someone is playing guitar.,Not Similar,Similar,Not Similar,,,,0.4948,,
215,STS-B (main-captions),A man is breaking wooden boards with his hand.,A man is breaking tiles with his hands.,Not Similar,Similar,Not Similar,,,,0.6499,,
216,STS-B (main-captions),A girl is playing guitar.,A girl is playing a piano.,Not Similar,Similar,Not Similar,,,,0.6281,,
217,STS-B (main-captions),A man is praying.,A man is dancing.,Not Similar,Not Similar,Not Similar,,,,0.3514,,
218,STS-B (main-captions),A man is playing piano.,A man is playing a violin.,Not Similar,Not Similar,Not Similar,,,,0.5195,,
219,STS-B (main-captions),A woman is slicing an onion.,A woman is slicing lemons.,Not Similar,Similar,Similar,,,,0.7045,,
220,STS-B (main-captions),A person is playing a piano.,A person is slicing a potato.,Not Similar,Similar,Not Similar,,,,0.2803,,
221,STS-B (main-captions),A man is spitting.,A man is talking.,Not Similar,Similar,Not Similar,,,,0.3543,,
222,STS-B (main-captions),A man is dancing.,A man is thinking.,Not Similar,Not Similar,Not Similar,,,,0.4304,,
223,STS-B (main-captions),A woman is riding a horse.,A man rides a horse.,Not Similar,Not Similar,Not Similar,,,,0.5451,,
224,STS-B (main-captions),A band is playing on stage.,A woman is dancing on a stage.,Not Similar,Not Similar,Not Similar,,,,0.4,,
225,STS-B (main-captions),A girl is coming up on a car.,A girl jumps on top of a car.,Not Similar,Not Similar,Similar,,,,0.7321,,
226,STS-B (main-captions),A man is playing drums.,A man is playing his guitar.,Not Similar,Similar,Not Similar,,,,0.4886,,
227,STS-B (main-captions),Someone is slicing a onion.,Someone is carrying a fish.,Not Similar,Not Similar,Not Similar,,,,0.1432,,
228,STS-B (main-captions),A little girl peddling a scooter.,A girl is riding a scooter.,Not Similar,Similar,Similar,,,,0.8309,,
229,STS-B (main-captions),A man is kicking a soccer ball.,A man is performing tricks with a soccer ball.,Not Similar,Not Similar,Similar,,,,0.8205,,
230,STS-B (main-captions),A woman opens a window.,A woman is looking out a window.,Not Similar,Similar,Similar,,,,0.7665,,
231,STS-B (main-captions),The man is playing the guitar.,The man is peeling a potato.,Not Similar,Not Similar,Not Similar,,,,0.2055,,
232,STS-B (main-captions),A man is dancing.,A woman is exercising.,Not Similar,Similar,Not Similar,,,,0.0697,,
233,STS-B (main-captions),A woman is exercising.,A man is dancing.,Not Similar,Similar,Not Similar,,,,0.0697,,
234,STS-B (main-captions),A boy is playing the violin onstage.,A boy is playing an instrument.,Not Similar,Not Similar,Similar,,,,0.7046,,
235,STS-B (main-captions),A man is doing exercise.,A man is firing a rifle.,Not Similar,Not Similar,Not Similar,,,,0.2816,,
236,STS-B (main-captions),A dog is playing with a toy.,A dog is eating a doll.,Not Similar,Not Similar,Not Similar,,,,0.5067,,
237,STS-B (main-captions),A man is playing a piano.,A guy is peeling a potato.,Not Similar,Not Similar,Not Similar,,,,0.2605,,
238,STS-B (main-captions),A man is bowling.,A kitten is walking.,Not Similar,Not Similar,Not Similar,,,,0.0,,
239,STS-B (main-captions),A woman is dancing near a fire.,A woman is cutting a tomatoe.,Not Similar,Not Similar,Not Similar,,,,0.169,,
240,STS-B (main-captions),A man is making a bed.,A man is speaking to an audience.,Not Similar,Not Similar,Not Similar,,,,0.2494,,
241,STS-B (main-captions),A person is riding a motorcyle.,A person is chopping an onion.,Not Similar,Not Similar,Not Similar,,,,0.2437,,
242,STS-B (main-captions),A woman is slicing ginger.,A woman is cutting potatoes.,Not Similar,Not Similar,Not Similar,,,,0.5605,,
243,STS-B (main-captions),A man is talking on the phone.,A man is moon-walking across a store.,Not Similar,Not Similar,Not Similar,,,,0.1975,,
244,STS-B (main-captions),A woman is braiding her hair.,A man is riding a motorcycle.,Not Similar,Not Similar,Not Similar,,,,0.0,,
245,STS-B (main-captions),The woman is slicing tofu.,The woman is putting on lipstick.,Not Similar,Not Similar,Not Similar,,,,0.3294,,
246,STS-B (main-captions),A woman is folding paper.,A woman is applying eye shadow.,Not Similar,Not Similar,Not Similar,,,,0.364,,
247,STS-B (main-captions),Someone is folding a piece of paper.,A person is slicing a small pieces of ginger.,Not Similar,Not Similar,Not Similar,,,,0.2372,,
248,STS-B (main-captions),A man is lifting weights.,A man is chopping egg plant.,Not Similar,Not Similar,Not Similar,,,,0.2601,,
249,STS-B (main-captions),A man is playing a cello.,A man is rapidly lifting small weights.,Not Similar,Not Similar,Not Similar,,,,0.2372,,
250,STS-B (main-captions),The man is talking.,A man is walking down stairs.,Not Similar,Not Similar,Not Similar,,,,0.3728,,
